Np,Nc,L,runtime,runtime_err,noise,noise_err,omega,omega_err,gamma,gamma_err
500,10,12.5664,0.14188776016235352,0.007459500562377664,0.06284831627742561,0.0,2.430600631987893,0.0,0.16412008679604081,0.0
500,10,18.8496,0.13733172416687012,0.01009816035412561,0.1121294007728603,0.0,2.199114857512855,0.0,0.08517930166335104,0.0
500,10,25.1327,0.13127493858337402,0.007842271068710658,0.17356828016399672,0.0,2.123283310702067,0.0,0.03586951595985278,0.0
500,10,31.4159,0.10613656044006348,0.007020766797934244,0.24735469891854017,1.3877787807814457e-17,nan,nan,nan,nan
500,20,12.5664,0.24568824768066405,0.01892694312110722,nan,nan,1.9735646157166649,0.0,0.09741652621290015,0.0
500,20,18.8496,0.20529184341430665,0.011038236142884855,0.13285824405627494,0.0,2.2805635559392576,0.0,0.08108126519706871,0.0
500,20,25.1327,0.1882713794708252,0.012753488638455605,0.19753154515084298,0.0,2.199114857512855,0.0,0.035076471140370685,0.0
500,20,31.4159,0.1710817337036133,0.013013543476409354,0.25233614257781606,0.0,nan,nan,nan,nan
500,40,12.5664,0.4694239139556885,0.02431693018051146,0.04736704643629201,0.0,2.463008640414398,0.0,0.23411433608413482,0.0
500,40,18.8496,0.3713273048400879,0.03137212005474354,0.1215044407725551,6.938893903907228e-18,2.2805635559392576,0.0,0.08088859236745195,0.0
500,40,25.1327,0.36397976875305177,0.0314721041593391,0.20959627106552073,0.0,2.199114857512855,0.0,0.03612412952064669,0.0
500,40,31.4159,0.33134613037109373,0.021773801847276335,0.2534958125394688,0.0,nan,nan,nan,nan
500,80,12.5664,0.8758870601654053,0.04759298128395273,nan,nan,2.025500526656577,0.0,0.0985559288563728,0.0
500,80,18.8496,0.7249815464019775,0.0457970518366746,0.12647054551541173,0.0,2.2805635559392576,0.0,0.07783151161361068,0.0
500,80,25.1327,0.637106990814209,0.04939770627228575,0.21768659050900765,0.0,2.199114857512855,0.0,0.036867620277521294,0.0
500,80,31.4159,0.6130769729614258,0.026686424029188985,0.25527285595137655,0.0,nan,nan,nan,nan
1000,10,12.5664,0.29447026252746583,0.020636347204038213,0.04087225794826666,0.0,2.7988734550163614,0.0,0.27856599859883363,0.0
1000,10,18.8496,0.245619535446167,0.020542066736878875,nan,nan,2.252751805257071,0.0,0.07151526103007562,0.0
1000,10,25.1327,0.22716932296752929,0.015267834559324232,0.11003002309501715,0.0,2.199114857512855,0.0,0.06772613910174059,0.0
1000,10,31.4159,0.2238330841064453,0.0184457728417186,nan,nan,2.0802437841337817,0.0,0.013165401258819907,8.673617379884035e-19
1000,20,12.5664,0.4502449035644531,0.0269904372718457,0.042123517882076016,0.0,2.7988734550163614,0.0,0.2937204262087083,0.0
1000,20,18.8496,0.3982841014862061,0.031115671657455348,nan,nan,2.309070600388498,0.0,0.08029057248667151,0.0
1000,20,25.1327,0.3766630172729492,0.03186406401105524,0.10249788612562971,0.0,2.2805635559392576,0.0,0.07004472458687896,0.0
1000,20,31.4159,0.37950997352600097,0.02249611600030965,nan,nan,2.138028333693054,0.0,0.012877533489723092,0.0
1000,40,12.5664,0.9118523120880127,0.04758959419367571,0.04508267215434593,0.0,2.7988734550163614,0.0,0.3046116059512567,0.0
1000,40,18.8496,0.713254976272583,0.04609665614345752,nan,nan,2.309070600388498,0.0,0.08195889306950782,0.0
1000,40,25.1327,0.7097532272338867,0.04994732103886032,0.10529305155262221,0.0,2.2805635559392576,0.0,0.06743914555455077,0.0
1000,40,31.4159,0.6473826408386231,0.0426886715217336,0.19683257656705994,0.0,2.123283310702067,0.0,0.01671390972067508,0.0
1000,80,12.5664,1.750326442718506,0.03197856339813548,0.044567759970579705,0.0,2.7988734550163614,0.0,0.3096121244659571,0.0
1000,80,18.8496,1.569385814666748,0.10276910704698365,nan,nan,2.309070600388498,0.0,0.08246322543421453,0.0
1000,80,25.1327,1.3590654850006103,0.1011309202059414,0.10851426118606082,0.0,2.2805635559392576,0.0,0.06662664935249099,0.0
1000,80,31.4159,1.3324945449829102,0.08574750114188556,0.188338127881195,0.0,2.199114857512855,0.0,0.01836670458557314,0.0
5000,10,12.5664,1.397155237197876,0.03611493574851828,0.020066581963804876,0.0,2.6541041383775834,0.0,0.14589581636502155,0.0
5000,10,18.8496,1.0975138187408446,0.06640971309045605,0.057559805766128604,0.0,2.2805635559392576,0.0,0.08296346491212915,0.0
5000,10,25.1327,0.947696304321289,0.03958272082010736,0.11043639565257846,0.0,2.123283310702067,0.0,0.03772449487829095,0.0
5000,10,31.4159,1.0819082260131836,0.06145202997590378,0.1581941522158671,0.0,nan,nan,nan,nan
5000,20,12.5664,2.4371846199035643,0.10920956899143819,0.022134173120881305,0.0,2.748893571891069,0.0,0.14579574784475785,0.0
5000,20,18.8496,1.9692845821380616,0.10136926088045438,0.06638619509150115,0.0,2.2805635559392576,0.0,0.08101493501066448,0.0
5000,20,25.1327,1.8260727405548096,0.08358804424138518,0.1140215215607274,0.0,2.199114857512855,0.0,0.03588550130168578,0.0
5000,20,31.4159,1.9409145355224608,0.09143877554785007,0.15554080961276526,0.0,2.123283310702067,0.0,0.012006386903474508,0.0
5000,40,12.5664,4.861412620544433,0.20345554872423122,0.020612257120801555,0.0,2.748893571891069,0.0,0.14511696820652312,0.0
5000,40,18.8496,3.85210919380188,0.16559021345355376,0.06729896841281259,0.0,2.368277538859998,0.0,0.08363837975603472,0.0
5000,40,25.1327,4.210487651824951,0.23150342034542698,0.11364925296508029,0.0,2.199114857512855,0.0,0.03533386105319043,0.0
5000,40,31.4159,4.078279638290406,0.13215181430529557,0.1649819386007733,0.0,nan,nan,nan,nan
5000,80,12.5664,9.242451906204224,0.4708624288945105,0.020330902755355682,0.0,2.748893571891069,0.0,0.14559246486166372,0.0
5000,80,18.8496,7.058283805847168,0.24443112821352853,0.06779747493778278,0.0,2.368277538859998,0.0,0.08300823270623746,0.0
5000,80,25.1327,6.993554306030274,0.2743385315426776,0.1145266745992046,0.0,2.199114857512855,0.0,0.035353463450850206,0.0
5000,80,31.4159,7.022942066192627,0.28843008474203724,0.16555319080745187,0.0,nan,nan,nan,nan
20000,10,12.5664,7.205291652679444,0.24804834322997432,0.011135607266854296,0.0,2.7165536475158794,0.0,0.27331082622970476,0.0
20000,10,18.8496,5.892671680450439,0.24461633814946648,0.06250838770920628,0.0,2.263794706263233,0.0,0.06885541976109683,0.0
20000,10,25.1327,5.132823801040649,0.19305621194170225,nan,nan,2.138028333693054,0.0,0.02030397900336464,0.0
20000,10,31.4159,4.55132794380188,0.13943912779484682,0.1652095868156072,0.0,nan,nan,nan,nan
20000,20,12.5664,11.111067867279052,0.2545336852535061,0.012334256031039492,0.0,2.8863382504856223,0.0,0.2737011448014102,0.0
20000,20,18.8496,9.092049407958985,0.3776773688589347,0.07028170104378076,0.0,2.332394545846968,0.0,0.06429870655393592,0.0
20000,20,25.1327,8.000064849853516,0.25169199278709464,nan,nan,2.1991148575128556,0.0,0.020306708909165642,0.0
20000,20,31.4159,7.506630897521973,0.3477490485054098,0.17101913097075624,0.0,nan,nan,nan,nan
20000,40,12.5664,19.359545040130616,0.778773788351293,0.012520156376901691,0.0,2.8863382504856223,0.0,0.2639194601008627,0.0
20000,40,18.8496,15.939506769180298,0.3462283960542808,0.07105927296331467,0.0,2.332394545846968,0.0,0.06372085759878571,0.0
20000,40,25.1327,14.59480299949646,0.35633791749946964,nan,nan,2.1991148575128556,0.0,0.01977775341420049,0.0
20000,40,31.4159,13.737612390518189,0.35104565449752523,0.17278855792458872,0.0,nan,nan,nan,nan
20000,80,12.5664,37.32247629165649,0.9105377933486901,0.012565635576038413,0.0,2.8863382504856223,0.0,0.2627503867200519,0.0
20000,80,18.8496,30.366769886016847,0.9506904343483935,0.07109568489780929,0.0,2.332394545846968,0.0,0.06365238819477963,0.0
20000,80,25.1327,27.75782675743103,0.48153962573857795,nan,nan,2.1991148575128556,0.0,0.019742104569177937,0.0
20000,80,31.4159,26.54492120742798,0.19623823127670761,0.1732139702383719,0.0,nan,nan,nan,nan
