vbeam,gamma_mean,gamma_std,fraction_valid,n_valid
0.0,6.235806890636324e-06,8.470329472543003e-22,1.0,5
0.42105263157894735,0.004311731543198575,0.0,0.4,2
0.8421052631578947,0.0,0.0,0.0,0
1.263157894736842,0.003362743160028569,0.0,0.2,1
1.6842105263157894,7.94516285354335e-05,0.0,0.4,2
2.1052631578947367,0.0012134638815707438,0.0006958688419092233,1.0,5
2.526315789473684,0.01505156002077256,0.007890752342592023,1.0,5
2.9473684210526314,0.012753308795443308,0.0007115717975837127,1.0,5
3.3684210526315788,0.019545503912817775,0.0026400827181126576,1.0,5
3.789473684210526,0.02092478261533294,0.0,0.4,2
4.2105263157894735,0.03220819542148974,0.010377310535923258,1.0,5
4.631578947368421,0.07885786516469484,0.03819356080638583,1.0,5
5.052631578947368,0.04706239200138307,0.02482295422024241,1.0,5
5.473684210526315,0.04792210342335509,0.05648160466902606,1.0,5
5.894736842105263,0.010542031960144783,0.003764814021087767,1.0,5
6.315789473684211,0.050783619867433814,0.01801299197068172,1.0,5
6.7368421052631575,0.016504979971355433,0.0022859278465606953,1.0,5
7.157894736842104,0.017600563495930754,0.001618241081941235,1.0,5
7.578947368421052,0.017708300860368325,0.0030808565235487095,1.0,5
8.0,0.012949825061387265,0.0024529196085633794,1.0,5
